tid,sid,strategy_name,trader_code,holding_days,last_check,open_price,open_date,long_short,shares,close_date,close_price,pnl,tax,fee
91365,6215,ITFollow,001,30,2022-12-16,19.738689585722845,2014-09-01,long,1.0,2014-10-14,16.7189646864145,-15.71,50.16,31.17
91366,6215,ITFollow,001,0,2022-12-16,,,,,,,,,
91367,6216,ITFollow,001,0,2022-12-16,,,,,,,,,
91368,6224,ITFollow,001,30,2022-12-16,59.319623659026895,2019-07-10,long,1.0,2019-08-21,53.68639321083153,-9.93,161.06,96.62
91369,6224,ITFollow,001,30,2022-12-16,61.28271911824648,2019-10-25,long,1.0,2019-12-05,57.18582424683168,-7.13,171.56,101.29
91370,6224,ITFollow,001,30,2022-12-16,124.86356707317073,2021-06-18,long,1.0,2021-07-29,148.3053861788618,18.23,444.92,233.56
91371,6224,ITFollow,001,30,2022-12-16,131.08282520325204,2021-12-08,long,1.0,2022-01-19,108.5978150406504,-17.56,325.79,204.93
91372,6224,ITFollow,001,0,2022-12-16,,,,,,,,,
91373,6225,ITFollow,001,0,2022-12-16,,,,,,,,,
91374,6226,ITFollow,001,0,2022-12-16,,,,,,,,,
91375,6230,ITFollow,001,30,2022-12-16,32.080154549304886,2013-01-14,long,1.0,2013-03-05,41.24591299196343,27.99,123.74,62.69
91376,6230,ITFollow,001,30,2022-12-16,44.55968719815536,2013-04-22,long,1.0,2013-06-03,53.93696314333679,20.49,161.81,84.21
91377,6230,ITFollow,001,30,2022-12-16,56.26365567108857,2013-06-04,long,1.0,2013-07-16,54.14848064585968,-4.22,162.45,94.4
91378,6230,ITFollow,001,30,2022-12-16,45.370328903512565,2013-09-11,long,1.0,2013-10-24,42.70583976725408,-6.32,128.12,75.31
91379,6230,ITFollow,001,30,2022-12-16,50.551280001792954,2013-12-12,long,1.0,2014-01-23,79.19453821657169,55.97,237.58,110.93
91380,6230,ITFollow,001,30,2022-12-16,72.3112746145706,2014-05-20,long,1.0,2014-07-01,63.429644160375645,-12.71,190.29,116.06
91381,6230,ITFollow,001,30,2022-12-16,75.49385886065713,2014-07-28,long,1.0,2014-09-05,74.95589620948543,-1.18,224.87,128.63
91382,6230,ITFollow,001,30,2022-12-16,64.81435582712372,2014-11-03,long,1.0,2014-12-15,64.12808617718946,-1.53,192.38,110.25
91383,6230,ITFollow,001,30,2022-12-16,71.67705232646622,2015-03-05,long,1.0,2015-04-20,71.75330450979224,-0.37,215.26,122.63
91384,6230,ITFollow,001,30,2022-12-16,58.525664122441654,2015-10-06,long,1.0,2015-11-17,62.42737506393777,6.17,187.28,103.41
91385,6230,ITFollow,001,30,2022-12-16,105.42921054680978,2016-01-04,long,1.0,2016-02-23,130.7488241033271,23.45,392.25,201.93
91386,6230,ITFollow,001,30,2022-12-16,126.1829921505125,2016-02-25,long,1.0,2016-04-12,111.24026939584655,-12.27,333.72,203.0
91387,6230,ITFollow,001,30,2022-12-16,106.67443744303195,2016-06-14,long,1.0,2016-07-26,122.86238709392006,14.65,368.59,196.25
91388,6230,ITFollow,001,30,2022-12-16,132.82420226369737,2016-08-02,long,1.0,2016-09-12,141.95814055635162,6.38,425.87,234.94
91389,6230,ITFollow,001,30,2022-12-16,126.99267393143504,2016-10-20,long,1.0,2016-11-30,100.91000352800899,-20.93,302.73,194.86
